States,Sample Total,6 mos - 17 yrs,18-64 yrs,18-64 yrs at high risk,18-64 yrs not at high risk,65+ yrs,White,Black,Hispanic,Other/ Multiple Races
Alabama,43.9,61.9,33.1,39.8,30.4,61.1,43.4,42.6,61.1,45.8
Alaska,37.9,47.9,31.9,43.6,29.3,51.5,38.1,51.6,35.5,37.2
Arizona,41.5,52,32.2,42.3,29.1,59.4,41.7,46.2,39,46.9
Arkansas,45.4,66.4,33.6,40,31.2,59.1,45.1,45.9,55.5,39.6
California,43.7,59.9,34.2,42.4,32.2,61.1,47.8,40.7,41.1,43
Colorado,49.1,62.4,40.6,47.6,39.1,66.9,48.9,52.6,50.2,48.5
Connecticut,52.6,70.5,42.6,54.3,39.3,66.7,52.5,53.9,52.5,52.6
Delaware,50.5,69.2,39,53,35.1,68.2,52.7,44.3,51.9,51.7
District of Columbia,47.6,69.9,40.9,42,40.7,56.2,52.1,42.3,54,49.2
Florida,39.5,47.9,29.7,39.7,26.4,60.6,43.5,34.9,33.1,40.8
Georgia,41.2,51.3,32.9,42.8,30,62.6,43,38.8,41,39.5
Hawaii,50.2,71.8,39,39.5,39.5,64.1,45.7,51.8,55.9,51.2
Idaho,39.2,45.4,32.6,37.8,31.5,54.9,39.6,49.7,34.8,43.9
Illinois,42.9,55.3,34.8,43.8,32.4,59.3,42.5,39.7,49.6,38
Indiana,43.2,51.6,35.3,44.5,32.3,62.1,43.5,41.6,43.8,47.3
Iowa,51.8,59.1,43.3,55.1,40.6,73.5,52.5,42.9,51.7,50
Kansas,44.4,55.6,35.6,43.4,33.6,62.4,45.2,47.1,41.8,40.9
Kentucky,44.2,51.7,35.9,40.4,33.9,66,44.6,40.6,49.2,36.6
Louisiana,44,57.2,35.5,40.9,32.1,58.4,42.6,45.2,44.6,53.9
Maine,49,60.4,39.8,51.6,35.7,67.2,49.4,54.7,40.7,39.3
Maryland,51.7,72.8,41.5,53.6,37.9,64.3,55.1,46.9,52.4,47
Massachusetts,50.4,75.1,40.1,48.3,37.4,59.5,50.9,56.2,49.8,48.7
Michigan,42.2,55.5,33.1,43.6,29.7,59.5,42.8,37.4,46,41.2
Minnesota,49.7,60.8,41.6,51,39.6,65.9,49.7,48.2,51.3,50.1
Mississippi,42.1,52.3,32.2,36.9,30.8,66.3,44.7,38,48.6,39.2
Missouri,47.4,59.4,37.1,44.9,34.5,69.8,47.1,54.4,43.4,46.3
Montana,43.8,50,36.8,46.8,33.8,60.5,43.4,NR *,34.7,52.8
Nebraska,49.1,62.3,40.2,50.8,37.5,64.6,48.5,54.1,51.6,56.6
Nevada,36.8,48.8,26.8,36.7,24.7,59.6,39.5,30.5,34.3,37
New Hampshire,50.9,66.4,41.1,51.1,37.7,69.4,50.3,59.9,61.2,58
New Jersey,45.4,69.5,32.6,45.6,29.7,63.6,45.1,42.6,46.9,52.9
New Mexico,47.4,68.9,36.4,43.7,34.2,58.1,47.2,45.4,47.1,51.2
New York,49.1,65.6,39.3,54.8,34.9,66,49.1,46.2,49.6,54.3
North Carolina,50.9,60.6,42.7,50.7,39.8,68.6,52.6,50.5,43,45.5
North Dakota,48.8,63.4,40.5,49.3,38,64,49,58.7,34.2,52.2
Ohio,43.8,55.1,34.9,43.3,32,61.2,44.2,44.1,41.2,42.5
Oklahoma,45.8,52.2,37.3,53,32.2,68.7,45.5,42.2,43.8,48.8
Oregon,42,54.6,33.9,39.4,32.3,55.8,42.2,36.7,41.1,47.1
Pennsylvania,48.2,60.5,38.7,48.6,35.6,67,47.9,48.4,49.8,50.4
Rhode Island,56.1,77.9,46.9,57.3,44,64.9,58.5,45.6,52.4,52.6
South Carolina,46.9,59.2,36.7,46.3,33.2,68.7,48.1,43.5,53.9,41.6
South Dakota,56.6,70.8,45.5,50,44.3,76.8,56.5,67.9,61.9,56.3
Tennessee,46.3,61.8,36.8,43.9,33.7,61.1,47.4,38.5,50.6,48.5
Texas,47.9,62.1,38.7,55.5,34.9,65.1,49.7,41,45.9,60.5
Utah,43.5,52.9,35.8,45.9,33.8,62,44.3,47.1,41.2,40.6
Vermont,49.2,58.9,41.3,51.1,38.8,66.8,48.9,58.7,61.6,50
Virginia,49.5,62.4,40.7,45.9,39.2,69.5,51.3,45.3,45.9,47
Washington,47.9,60.9,38.5,47.9,35.8,68.6,48.7,41.1,47.7,46.1
West Virginia,49.6,56.7,40.5,50.4,35.4,71.6,49.4,49.5,59.6,49.1
Wisconsin,42.7,60,34.8,39.2,33.5,49.9,42.4,46.2,45.4,42.5
Wyoming,38.1,41.7,31.1,38.1,29.6,61.9,39.2,NR  ,29.6,37.3
United States,45.6,59.3,36.3,46,33.5,63.4,46.6,42.8,43.9,47.1
,51.3,,,,,,,,,
,48,,,,,,,,,
,49.4,,,,,,,,,
,43.7,,,,,,,,,
,43.8,,,,,,,,,
,47.1,,,,,,,,,
,48,,,,,,,,,
,47.1,,,,,,,,,
,43.2,,,,,,,,,
,44.5,,,,,,,,,
