States,Sample Total,6 mos - 17 yrs,18-64 yrs,18-64 yrs at high risk,18-64 yrs not at high risk,≥65 yrs,White,Black,Hispanic,Other/ Multiple Races
Alabama,43.9,54.3,34.9,41.9,32.1,63,45.2,39.2,55.4,38.9
Alaska,39.1,45.8,33.6,41.3,32,55.6,37.8,48.8,36,44.2
Arizona,41.8,50.8,32.7,41.8,29.7,60.8,43.3,33.6,41.1,39.6
Arkansas,46.2,60.6,35.8,44.5,32.3,62.8,44.9,47.5,53.1,50.2
California,48,62.2,39.1,44.4,38.2,66.2,50.4,37,46.6,51.7
Colorado,49.9,63.4,40.9,46.5,39.4,68.5,48.5,58.6,51.1,57.3
Connecticut,52.7,68.6,43.6,53.8,40.1,66.6,53.4,49.6,53.3,50.2
Delaware,51.2,65.4,39.7,57.5,34.5,73.6,54.6,41.9,48.1,56
District of Columbia,48.3,73.7,39.4,48.4,36.8,65,56.3,42.7,52,38.1
Florida,43.3,56.7,30.9,38.9,28.6,64,45.1,40.5,40.7,40
Georgia,42.8,54.4,33.5,42,31.4,64.8,45.6,37.1,46,45.4
Hawaii,49.2,60.6,40.5,53.7,36.7,66.2,43.7,57.5,49.2,51.3
Idaho,39.5,46.7,31.1,38.4,29.3,60.3,39.3,57,42.5,29.2
Illinois,41.8,55.3,32.2,37.4,30.1,62.3,43.2,38.7,38.2,43.9
Indiana,43.6,55.2,35.1,45.9,31.3,60,43.9,41,44.9,45.6
Iowa,51.3,58.7,43.6,52.3,41.5,68.8,51,51.3,55.8,50.2
Kansas,43.9,54.7,36.1,43.6,34,57.6,43.3,40.9,47.6,45.3
Kentucky,45,50.3,37.8,44.2,35.5,64.3,44.1,41.9,65.9,48.5
Louisiana,41.6,57.1,31.8,43.6,27.6,57.9,42.4,41.1,45.2,34.4
Maine,49.9,61.6,40.1,48.8,37.2,68.7,50,56.4,45.4,51.9
Maryland,53.5,68.5,43.5,53.1,41,71.8,56.4,47.1,52.8,55.8
Massachusetts,50.3,71.9,41.3,49.4,39.3,59.3,50.7,45.2,51.9,47.9
Michigan,44.2,55.7,35.1,45.3,31.5,62.6,45.5,38.1,43.8,44.3
Minnesota,51.7,60,44,57.1,41.3,69.6,52,47.5,55.5,49.7
Mississippi,40.1,50.5,30.6,40.2,27.2,59.7,40.7,37.5,49.7,48.4
Missouri,46.4,53.9,36.7,44.3,34.5,71.1,47.1,42,43.9,46.4
Montana,42.2,49,33.5,47.1,30.5,64.5,41.2,NR *,40.2,53.7
Nebraska,52.3,63.4,43.7,55,40.7,68.7,51.2,58.7,58.4,48.8
Nevada,36.1,45.6,27.4,38.2,24.4,58.6,39.1,34.4,31.6,34.6
New Hampshire,50.4,66.2,41.4,44.9,41,65.6,49.5,36.7,60,55.6
New Jersey,49.1,67.7,38.4,48.8,35.6,65.5,52.1,42.5,45.6,50.8
New Mexico,49.2,63.8,39.4,46.8,36.6,65,47.2,66.8,50.3,52.8
New York,49.8,65.9,39.9,48.4,37.3,67.1,50.2,46.1,49.9,54.1
North Carolina,50.8,60.6,41.6,52.6,37.7,72.1,51.2,48.8,54,50.6
North Dakota,46.9,65.3,36,45.6,34,65.7,46.4,54.5,46.2,51.7
Ohio,46.6,51.5,38.7,47.7,35.9,67.6,45.8,51.2,49.3,43.7
Oklahoma,47.2,53.6,39.1,52.8,33.9,69.3,46.6,47.5,48,49
Oregon,40,52,30.9,40.7,28.3,57.2,40.2,37.7,41.7,38.9
Pennsylvania,53.3,63.3,44.6,57.7,40.1,72.3,51.9,56.2,60.6,55.3
Rhode Island,55.4,74.2,44.7,54.1,41.2,72.8,54.9,54.1,57.7,54.5
South Carolina,47.4,55.5,37.5,49.3,34.1,69.9,48.7,43.9,47.2,48
South Dakota,53.9,63.2,45.5,51.7,44.4,70.9,53.5,57,60.3,53.8
Tennessee,43.9,57.4,34.4,43.8,31.4,61.4,44.2,38.8,46.2,53.4
Texas,43.5,60.3,32.9,41.6,30.4,62.1,44.6,37.2,44,42.5
Utah,43.4,48.9,37.2,48.7,34.7,61.7,43.6,NR †,42.1,48.7
Vermont,47.3,59.9,38.5,45.5,36.5,63.9,47.1,61,53.6,48.8
Virginia,50.5,60.2,43.2,48,42.3,67.1,51.3,46.6,51.4,52.9
Washington,48.3,56.7,40.7,52.2,37.4,66.7,48.4,49.5,48.1,49.2
West Virginia,49.6,54.8,40.1,51.4,34.9,72.6,48.9,61.6,47.7,58.4
Wisconsin,43.7,59.5,35,42.4,33.4,55.7,42.5,52.4,48.3,46.2
Wyoming,38.9,43,32.4,44.1,29.7,59,39.2,30.5,35.6,40.2
United States,46.8,59,37.5,46.4,34.9,65.3,47.5,43,46.2,48.8
