,Influenza vaccination (General Population) - Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Influenza vaccination (General Population) - Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,
,"""",,,,,,6 months - 17 years,,,,,,6 months - 4 years,,,,,,5-12 years,,,,,,13-17 years,,,,,,≥18 years,,,,,,18-64 years,,,,,,18-64 years at high risk,,,,,,18-64 years not at high risk,,,,,,18-49 years,,,,,,18-49 years at high risk,,,,,,18-49 years not at high risk,,,,,,50-64 years,,,,,,≥65 years,,,,,,"White only, non-Hispanic",,,,,,"Black only, non-Hispanic",,,,,,Hispanic,,,,,,"Other or multiple races, non-Hispanic",,,,,
Names,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET,2016-17,LL,UL,CI,SAMPLE,TARGET
Alabama,43.9,42.1,45.7,(±1.8),7901,70,54.3,51,57.6,(±3.3),2555,70,68.4,62.6,74.2,(±5.8),757,70,55.1,50.5,59.7,(±4.6),1196,70,43.2,36.1,50.3,(±7.1),602,70,41,38.8,43.2,(±2.2),5346,70,34.9,32.4,37.4,(±2.5),3393,70,41.9,36.8,47,(±5.1),1169,70,32.1,29,35.2,(±3.1),2187,70,28.5,25.2,31.8,(±3.3),1774,70,29.1,21.3,36.9,(±7.8),435,70,28.6,24.9,32.3,(±3.7),1313,70,47.5,43.4,51.6,(±4.1),1619,70,63,59.7,66.3,(±3.3),1953,70,45.2,42.8,47.6,(±2.4),5298,70,39.2,35.5,42.9,(±3.7),1822,70,55.4,44.1,66.7,(±11.3)‡,302,70,38.9,30.8,47,(±8.1),414,70
Alaska,39.1,35.9,42.3,(±3.2),4998,70,45.8,39.7,51.9,(±6.1),2238,70,43.9,27.6,60.2,(±16.3)‡,688,70,52.2,45.5,58.9,(±6.7),971,70,38.2,31,45.4,(±7.2),579,70,36.9,33.2,40.6,(±3.7),2760,70,33.6,29.5,37.7,(±4.1),1989,70,41.3,33.5,49.1,(±7.8),430,70,32,27.1,36.9,(±4.9),1534,70,31.6,25.9,37.3,(±5.7),980,70,35.6,23.6,47.6,(±12.0)‡,146,70,31.1,24.8,37.4,(±6.3),823,70,38,33.1,42.9,(±4.9),1009,70,55.6,49.7,61.5,(±5.9),771,70,37.8,34.5,41.1,(±3.3),3264,70,48.8,28.9,68.7,(±19.9)‡,87,70,36,23.8,48.2,(±12.2)‡,293,70,44.2,35.3,53.1,(±8.9),1298,70
Arizona,41.8,40.2,43.4,(±1.6),11261,70,50.8,47.5,54.1,(±3.3),2357,70,60.4,54.3,66.5,(±6.1),706,70,54.6,49.8,59.4,(±4.8),1030,70,38,32.3,43.7,(±5.7),621,70,39.2,37.4,41,(±1.8),8904,70,32.7,30.9,34.5,(±1.8),4950,70,41.8,38.1,45.5,(±3.7),1368,70,29.7,27.5,31.9,(±2.2),3522,70,28.1,25.7,30.5,(±2.4),2486,70,34.9,29,40.8,(±5.9),474,70,26.6,24.1,29.1,(±2.5),1974,70,42.5,39.8,45.2,(±2.7),2464,70,60.8,57.9,63.7,(±2.9),3954,70,43.3,41.5,45.1,(±1.8),7705,70,33.6,26.8,40.4,(±6.8),337,70,41.1,38,44.2,(±3.1),2052,70,39.6,34.9,44.3,(±4.7),992,70
Arkansas,46.2,43.3,49.1,(±2.9),6418,70,60.6,56.8,64.4,(±3.8),2303,70,63.7,56.8,70.6,(±6.9),691,70,66,60.9,71.1,(±5.1),1027,70,49,42,56,(±7.0),585,70,41.9,38.4,45.4,(±3.5),4115,70,35.8,31.5,40.1,(±4.3),2075,70,44.5,35.9,53.1,(±8.6),694,70,32.3,28.2,36.4,(±4.1),1349,70,30.1,25.8,34.4,(±4.3),896,70,36,25.8,46.2,(±10.2)‡,189,70,29,24.1,33.9,(±4.9),685,70,46.9,38.7,55.1,(+C7:BY10±8.2),1179,70,62.8,59.1,66.5,(±3.7),2040,70,44.9,42.2,47.6,(±2.7),4705,70,47.5,35.1,59.9,(±12.4)‡,802,70,53.1,44.3,61.9,(±8.8),405,70,50.2,40.4,60,(±9.8),451,70
California,48,45,51,(±3.0),8010,70,62.2,58.6,65.8,(±3.6),3095,70,73.3,66.8,79.8,(±6.5),1059,70,61.5,56.4,66.6,(±5.1),1348,70,53.9,47.3,60.5,(±6.6),688,70,43.9,40.2,47.6,(±3.7),4915,70,39.1,35.2,43,(±3.9),3726,70,44.4,36.2,52.6,(±8.2),789,70,38.2,33.7,42.7,(±4.5),2896,70,36.4,31.9,40.9,(±4.5),2436,70,43.3,32.7,53.9,(±10.6)‡,366,70,35.8,30.9,40.7,(±4.9),2038,70,45.7,37.9,53.5,(±7.8),1290,70,66.2,55.8,76.6,(±10.4)‡,1189,70,50.4,46.4,54.4,(±4.0),3827,70,37,25.9,48.1,(±11.1)‡,389,70,46.6,40.9,52.3,(±5.7),2442,70,51.7,44.3,59.1,(±7.4),1261,70
Colorado,49.9,48.1,51.7,(±1.8),10103,70,63.4,58.3,68.5,(±5.1),2406,70,76.8,70.4,83.2,(±6.4),692,70,66.2,58.7,73.7,(±7.5),1096,70,47.3,39.9,54.7,(±7.4),618,70,46.1,44.3,47.9,(±1.8),7697,70,40.9,38.7,43.1,(±2.2),4930,70,46.5,42,51,(±4.5),1134,70,39.4,36.9,41.9,(±2.5),3729,70,36.7,34,39.4,(±2.7),2522,70,35.3,28.6,42,(±6.7),416,70,37.1,34,40.2,(±3.1),2063,70,50,46.9,53.1,(±3.1),2408,70,68.5,65.6,71.4,(±2.9),2767,70,48.5,46.7,50.3,(±1.8),7503,70,58.6,48.3,68.9,(±10.3)‡,271,70,51.1,45.7,56.5,(±5.4),1526,70,57.3,51.1,63.5,(±6.2),611,70
Connecticut,52.7,51,54.4,(±1.7),11507,70,68.6,65.5,71.7,(±3.1),2827,70,84.5,80.2,88.8,(±4.3),794,70,70.6,66.7,74.5,(±3.9),1377,70,55.5,48.6,62.4,(±6.9),656,70,48.6,46.6,50.6,(±2.0),8680,70,43.6,41.2,46,(±2.4),5459,70,53.8,48.9,58.7,(±4.9),1433,70,40.1,37.6,42.6,(±2.5),3975,70,40.8,37.7,43.9,(±3.1),2421,70,51.2,43.4,59,(±7.8),490,70,38,34.5,41.5,(±3.5),1904,70,47.9,45,50.8,(±2.9),3038,70,66.6,64.2,69,(±2.4),3221,70,53.4,51.6,55.2,(±1.8),8717,70,49.6,43.6,55.6,(±6.0),748,70,53.3,48,58.6,(±5.3),1170,70,50.2,43.8,56.6,(±6.4),744,70
Delaware,51.2,48.1,54.3,(±3.1),4687,70,65.4,60.9,69.9,(±4.5),2166,70,76.3,68.7,83.9,(±7.6),647,70,63.5,57.4,69.6,(±6.1),931,70,58.4,50.7,66.1,(±7.7),588,70,47.5,43.8,51.2,(±3.7),2521,70,39.7,35.4,44,(±4.3),1607,70,57.5,48.1,66.9,(±9.4),387,70,34.5,29.8,39.2,(±4.7),1199,70,32.5,27,38,(±5.5),886,70,53.7,38.4,69,(±15.3)‡,142,70,28.3,22.6,34,(±5.7),731,70,52.8,46.1,59.5,(±6.7),721,70,73.6,68.3,78.9,(±5.3),914,70,54.6,50.7,58.5,(±3.9),2815,70,41.9,34.8,49,(±7.1),693,70,48.1,41.1,55.1,(±7.0),653,70,56,45.6,66.4,(±10.4)‡,470,70
District of Columbia,48.3,45.3,51.3,(±3.0),5244,70,73.7,69.2,78.2,(±4.5),2638,70,83.8,78,89.6,(±5.8),862,70,73.3,66.4,80.2,(±6.9),1085,70,61,52.6,69.4,(±8.4),691,70,43.3,39.8,46.8,(±3.5),2606,70,39.4,35.3,43.5,(±4.1),1932,70,48.4,40,56.8,(±8.4),489,70,36.8,32.3,41.3,(±4.5),1421,70,36,31.1,40.9,(±4.9),1169,70,41,30,52,(±11.0)‡,223,70,34.7,29.4,40,(±5.3),930,70,50.6,44.1,57.1,(±6.5),763,70,65,58.5,71.5,(±6.5),674,70,56.3,50.8,61.8,(±5.5),1903,70,42.7,38.5,46.9,(±4.2),2228,70,52,42.9,61.1,(±9.1),608,70,38.1,27.1,49.1,(±11.0)‡,473,70
Florida,43.3,42,44.6,(±1.3),29185,70,56.7,53.2,60.2,(±3.5),3230,70,63.9,58,69.8,(±5.9),991,70,56.9,51.8,62,(±5.1),1487,70,51.3,44.6,58,(±6.7),752,70,40.1,38.7,41.5,(±1.4),25955,70,30.9,29.3,32.5,(±1.6),15412,70,38.9,35.6,42.2,(±3.3),4326,70,28.6,26.8,30.4,(±1.8),10908,70,27.7,25.7,29.7,(±2.0),8084,70,30.9,26,35.8,(±4.9),1434,70,27.3,25.1,29.5,(±2.2),6548,70,36.6,34.1,39.1,(±2.5),7328,70,64,61.8,66.2,(±2.2),10543,70,45.1,43.6,46.6,(±1.5),20529,70,40.5,36.6,44.4,(±3.9),2877,70,40.7,38,43.4,(±2.7),3877,70,40,34.8,45.2,(±5.2),1434,70
Georgia,42.8,40.5,45.1,(±2.3),5679,70,54.4,50.8,58,(±3.6),2769,70,63.3,56.3,70.3,(±7.0),889,70,56.6,51.4,61.8,(±5.2),1330,70,41.2,35.4,47,(±5.8),550,70,39.2,36.5,41.9,(±2.7),2910,70,33.5,30.4,36.6,(±3.1),1875,70,42,35.5,48.5,(±6.5),486,70,31.4,27.9,34.9,(±3.5),1351,70,29.6,25.9,33.3,(±3.7),1092,70,30,21,39,(±9.0),174,70,30.3,26,34.6,(±4.3),887,70,42.3,36.8,47.8,(±5.5),783,70,64.8,59.7,69.9,(±5.1),1035,70,45.6,42.6,48.6,(±3.0),3114,70,37.1,32.7,41.5,(±4.4),1386,70,46,39.4,52.6,(±6.6),590,70,45.4,36.5,54.3,(±8.9),506,70
